代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,卖出信号,卖出原因,市场状态,股票池
603688,石英股份,矿物制品,20160727,19.33,20160914,19.73,200,73.3,2.03%,49,Top Rank,BULL rank exit (46.2%),BULL rank exit (46.2%),BULL,csi500
600007,中国国贸,园区开发,20160824,21.92,20160914,21.66,300,-87.3,-1.20%,21,Top Rank,BULL rank exit (64.1%),BULL rank exit (64.1%),BULL,csi500
002670,国盛证券,证券,20160824,30.15,20160914,27.69,100,-249.6,-8.16%,21,Top Rank,Hard stop (-8.2%),Hard stop (-8.2%),BULL,csi500
000088,盐田港,港口,20160825,7.1,20160919,6.92,1200,-227.5,-2.54%,25,Top Rank,BULL rank exit (48.2%),BULL rank exit (48.2%),BULL,csi500
601965,中国汽研,汽车服务,20160912,9.71,20160922,9.59,400,-49.5,-1.15%,10,Top Rank,BULL rank exit (40.9%),BULL rank exit (40.9%),BULL,csi500
300024,机器人,专用机械,20160801,52.03,20160926,51.53,100,-57.4,-0.97%,56,Top Rank,BULL rank exit (58.4%),BULL rank exit (58.4%),BULL,csi500
002673,西部证券,证券,20160808,24.51,20160926,23.16,300,-414.8,-5.52%,49,Top Rank,BULL trailing stop (15.5%),BULL trailing stop (15.5%),BULL,csi500
600126,杭钢股份,普钢,20160825,6.98,20160926,8.5,600,905.4,21.78%,32,Top Rank,BULL trailing stop (15.1%),BULL trailing stop (15.1%),BULL,csi500
002461,珠江啤酒,啤酒,20160901,13.64,20160926,12.48,1000,-1171.9,-8.47%,25,Top Rank,Hard stop (-8.5%),Hard stop (-8.5%),BULL,csi500
000582,北部湾港,港口,20160912,21.08,20160926,19.24,200,-372.3,-8.71%,14,Top Rank,Hard stop (-8.7%),Hard stop (-8.7%),BULL,csi500
002407,多氟多,化工原料,20160919,85.98,20160926,78.79,200,-1458.0,-8.36%,7,Top Rank,Hard stop (-8.4%),Hard stop (-8.4%),BULL,csi500
300054,鼎龙股份,化工原料,20160712,24.24,20160927,23.92,100,-35.2,-1.32%,77,Top Rank,BULL rank exit (49.4%),BULL rank exit (49.4%),BULL,csi500
000009,中国宝安,电气设备,20160629,13.7,20160929,14.05,1600,531.0,2.56%,92,Top Rank,BULL trailing stop (15.1%),BULL trailing stop (15.1%),BULL,csi500
601198,东兴证券,证券,20160613,22.21,20160930,22.2,900,-34.4,-0.04%,109,Top Rank,BULL rank exit (49.6%),BULL rank exit (49.6%),BULL,csi500
002653,海思科,化学制药,20160726,17.6,20161010,17.43,100,-18.5,-0.92%,76,Top Rank,BULL rank exit (46.1%),BULL rank exit (46.1%),BULL,csi500
601611,中国核建,建筑工程,20160914,14.45,20161010,14.72,500,125.4,1.87%,26,Top Rank,BULL rank exit (63.5%),BULL rank exit (63.5%),BULL,csi500
002797,第一创业,证券,20160912,34.35,20161011,35.18,100,78.4,2.42%,29,Top Rank,BULL rank exit (92.8%),BULL rank exit (92.8%),BULL,csi500
000582,北部湾港,港口,20160926,19.24,20161011,18.98,200,-57.1,-1.36%,15,Top Rank,BULL rank exit (53.4%),BULL rank exit (53.4%),BULL,csi500
002032,苏泊尔,家用电器,20160613,33.34,20161013,38.43,600,3019.9,15.24%,122,Top Rank,BEAR trailing stop (9.6%),BEAR trailing stop (9.6%),BEAR,csi500
000728,国元证券,证券,20160818,20.72,20161013,20.85,200,20.2,0.62%,56,Top Rank,BEAR rank exit (21.5%),BEAR rank exit (21.5%),BEAR,csi500
600258,首旅酒店,酒店餐饮,20160908,23.78,20161013,23.64,100,-17.2,-0.59%,35,Top Rank,BEAR trailing stop (9.4%),BEAR trailing stop (9.4%),BEAR,csi500
600004,白云机场,机场,20160914,14.14,20161013,14.29,400,49.9,1.01%,29,Top Rank,BEAR rank exit (44.7%),BEAR rank exit (44.7%),BEAR,csi500
600350,山东高速,路桥,20160926,6.31,20161013,6.57,1200,299.7,4.09%,17,Top Rank,BEAR rank exit (38.1%),BEAR rank exit (38.1%),BEAR,csi500
601139,深圳燃气,供气供热,20160824,9.47,20161014,9.5,400,7.2,0.32%,51,Top Rank,BEAR rank exit (21.5%),BEAR rank exit (21.5%),BEAR,csi500
000750,国海证券,证券,20160823,11.15,20161017,10.54,200,-123.9,-5.43%,55,Top Rank,BEAR rank exit (24.5%),BEAR rank exit (24.5%),BEAR,csi500
600007,中国国贸,园区开发,20161011,22.83,20161017,21.88,100,-97.9,-4.16%,6,Top Rank,BEAR rank exit (31.2%),BEAR rank exit (31.2%),BEAR,csi500
000429,粤高速Ａ,路桥,20160715,6.2,20161018,7.1,900,805.5,14.59%,95,Top Rank,BEAR rank exit (26.1%),BEAR rank exit (26.1%),BEAR,csi500
000818,航锦科技,化工原料,20160930,14.14,20161018,15.42,1500,1889.9,9.05%,18,Top Rank,BEAR rank exit (64.1%),BEAR rank exit (64.1%),BEAR,csi500
600566,济川药业,中成药,20160727,29.07,20161019,34.08,100,496.6,17.24%,84,Top Rank,BEAR rank exit (28.6%),BEAR rank exit (28.6%),BEAR,csi500
600361,创新新材,铝,20161010,7.23,20161019,7.12,500,-62.3,-1.59%,9,Top Rank,BEAR rank exit (22.6%),BEAR rank exit (22.6%),BEAR,csi500
002372,伟星新材,其他建材,20160914,21.84,20161021,21.11,100,-76.5,-3.37%,37,Top Rank,BEAR trailing stop (8.9%),BEAR trailing stop (8.9%),BEAR,csi500
002312,川发龙蟒,化工原料,20161010,19.11,20161024,16.92,400,-887.0,-11.49%,14,Top Rank,Hard stop (-11.5%),Hard stop (-11.5%),BULL,csi500
