代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,卖出原因,市场状态,股票池
300058,蓝色光标,广告包装,20260116,16.29,20260205,19.13,1200,3378.2,17.43%,20,BULL trailing stop (18.2%),BULL,csi500
002131,利欧股份,互联网,20260126,8.0,20260206,8.46,2800,1257.2,5.75%,11,BULL trailing stop (16.9%),BULL,csi500
601099,太平洋,证券,20260129,4.31,20260209,4.21,700,-73.8,-2.32%,11,BULL rank exit (79.9%),BULL,csi500
600977,中国电影,影视音像,20260105,15.4,20260212,17.61,300,656.1,14.35%,38,BULL trailing stop (15.1%),BULL,csi500
601212,白银有色,铜,20260209,10.37,20260212,9.41,2100,-2041.7,-9.26%,3,Hard stop (-9.3%),BULL,csi500
000933,神火股份,铝,20260105,28.47,20260213,29.87,100,136.1,4.92%,39,BULL trailing stop (16.8%),BULL,csi500
600312,平高电气,电气设备,20260130,21.409934833430743,20260224,23.158716101694914,200,343.7,8.17%,25,BULL rank exit (46.7%),BULL,csi500
688172,燕东微,半导体,20260202,41.94,20260225,45.84,100,384.0,9.30%,23,BULL rank exit (72.1%),BULL,csi500
002558,巨人网络,互联网,20260206,42.02,20260225,38.65,500,-1710.1,-8.02%,19,Hard stop (-8.0%),BULL,csi500
603185,弘元绿能,电气设备,20260122,26.3,20260302,24.45,200,-376.4,-7.03%,39,BULL trailing stop (17.1%),BULL,csi500
300017,网宿科技,软件服务,20260224,21.299999999999997,20260302,19.49,200,-367.1,-8.50%,6,Hard stop (-8.5%),BULL,csi500
002429,兆驰股份,家用电器,20260120,9.02,20260303,9.39,400,143.1,4.10%,42,BULL trailing stop (18.3%),BULL,csi500
300212,易华录,软件服务,20260202,12.4,20260303,11.16,400,-501.8,-10.00%,29,Hard stop (-10.0%),BULL,csi500
688249,晶合集成,半导体,20260202,33.52,20260303,31.53,100,-203.1,-5.94%,29,BULL trailing stop (16.6%),BULL,csi500
688099,晶晨股份,半导体,20260213,94.28,20260303,86.56,200,-1566.5,-8.19%,18,Hard stop (-8.2%),BULL,csi500
600765,中航重机,航空,20260225,21.58,20260303,19.620000000000005,300,-595.7,-9.08%,6,Hard stop (-9.1%),BULL,csi500
002335,科华数据,电气设备,20260302,62.05,20260303,56.59,100,-553.4,-8.80%,1,Hard stop (-8.8%),BULL,csi500
002402,和而泰,元器件,20260205,36.05,20260304,33.15,200,-588.6,-8.04%,27,Hard stop (-8.0%),BULL,csi500
000831,中国稀土,小金属,20260212,58.36,20260311,54.9,300,-1059.4,-5.93%,27,BULL trailing stop (15.5%),BULL,csi500
300748,金力永磁,矿物制品,20260202,35.37595471753593,20260312,35.0543551291947,100,-36.7,-0.91%,38,BULL trailing stop (15.1%),BULL,csi500
002353,杰瑞股份,化工机械,20260106,73.27,20260313,105.23,100,3182.3,43.62%,66,BULL trailing stop (15.8%),BULL,csi500
000733,振华科技,元器件,20260129,55.4,20260313,49.88,100,-558.5,-9.96%,43,Hard stop (-10.0%),BULL,csi500
600418,江淮汽车,汽车整车,20260202,52.51,20260313,49.01,100,-356.4,-6.67%,39,BULL trailing stop (15.4%),BULL,csi500
002126,银轮股份,汽车配件,20260205,44.4,20260313,45.970000000000006,200,302.0,3.54%,36,BULL trailing stop (15.4%),BULL,csi500
000039,中集集团,运输设备,20260302,13.69,20260313,12.28,400,-570.4,-10.30%,11,Hard stop (-10.3%),BULL,csi500
600487,亨通光电,通信设备,20260105,24.8,20260313,49.68,200,4963.1,100.32%,67,Close all,END,csi500
600157,永泰能源,火力发电,20260105,1.58,20260313,1.94,3400,1215.4,22.78%,67,Close all,END,csi500
601179,中国西电,电气设备,20260105,9.45,20260313,17.65,500,4088.5,86.77%,67,Close all,END,csi500
600884,杉杉股份,电气设备,20260121,13.9,20260313,14.55,400,252.4,4.68%,51,Close all,END,csi500
000400,许继电气,电气设备,20260130,30.09685696486419,20260313,31.277323697981558,200,228.0,3.92%,42,Close all,END,csi500
600141,兴发集团,农药化肥,20260202,36.77,20260313,40.78,100,395.7,10.91%,39,Close all,END,csi500
600170,上海建工,建筑工程,20260202,2.83,20260313,3.02,1500,279.1,6.71%,39,Close all,END,csi500
000021,深科技,元器件,20260202,29.24,20260313,30.92,100,164.0,5.75%,39,Close all,END,csi500
300285,国瓷材料,陶瓷,20260202,28.59,20260313,37.98,100,934.1,32.84%,39,Close all,END,csi500
002340,格林美,小金属,20260202,8.45,20260313,8.91,300,134.5,5.44%,39,Close all,END,csi500
600685,中船防务,船舶,20260202,30.944315038579123,20260313,33.65256951521327,100,266.5,8.75%,39,Close all,END,csi500
002487,大金重工,电气设备,20260205,62.63704442352135,20260313,80.7880638534623,200,3609.2,28.98%,36,Close all,END,csi500
300763,锦浪科技,电气设备,20260205,80.8,20260313,103.16,100,2222.6,27.67%,36,Close all,END,csi500
002532,天山铝业,铝,20260205,17.828482056723907,20260313,19.03959941153772,400,474.5,6.79%,36,Close all,END,csi500
002756,永兴材料,小金属,20260212,51.29538349805804,20260313,70.35227351668824,200,3793.1,37.15%,29,Close all,END,csi500
000933,神火股份,铝,20260225,31.78,20260313,36.88,300,1515.6,16.05%,16,Close all,END,csi500
600977,中国电影,影视音像,20260303,13.82,20260313,13.44,500,-198.7,-2.75%,10,Close all,END,csi500
002080,中材科技,玻璃,20260303,46.83,20260313,45.98,100,-91.0,-1.82%,10,Close all,END,csi500
300432,富临精工,汽车配件,20260303,16.38,20260313,17.65,300,374.1,7.75%,10,Close all,END,csi500
600096,云天化,农药化肥,20260303,41.18,20260313,43.13,100,189.4,4.74%,10,Close all,END,csi500
688249,晶合集成,半导体,20260303,31.53,20260313,32.15,100,57.8,1.97%,10,Close all,END,csi500
600637,东方明珠,影视音像,20260303,10.52,20260313,10.4,300,-40.1,-1.14%,10,Close all,END,csi500
301611,珂玛科技,半导体,20260304,115.15,20260313,107.52,100,-777.0,-6.63%,9,Close all,END,csi500
300339,润和软件,软件服务,20260311,46.97601818469324,20260313,44.963189437065154,400,-828.5,-4.28%,2,Close all,END,csi500
300251,光线传媒,影视音像,20260312,16.7,20260313,16.44,900,-253.2,-1.56%,1,Close all,END,csi500
002407,多氟多,化工原料,20260313,30.85,20260313,30.85,200,-8.0,0.00%,0,Close all,END,csi500
600418,江淮汽车,汽车整车,20260313,49.01,20260313,49.01,100,-6.4,0.00%,0,Close all,END,csi500
000537,绿发电力,新型电力,20260313,12.44607875177141,20260313,12.44607875177141,300,-4.9,0.00%,0,Close all,END,csi500
600673,东阳光,综合类,20260313,34.82,20260313,34.82,100,-4.5,0.00%,0,Close all,END,csi500
300001,特锐德,电气设备,20260313,30.85,20260313,30.85,100,-4.0,0.00%,0,Close all,END,csi500
