代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
601991,大唐发电,火力发电,20220622,2.54,20220711,2.83,600,468.7,11.42%,19,Rank 3.08%,"Rank 3.08%, Score 0.0186, BULL",BULL rank exit (59.3%),BULL rank exit (59.3%),BULL,csi500
003022,联泓新科,化工原料,20220623,33.2,20220711,36.25,100,396.7,9.19%,18,Rank 0.54%,"Rank 0.54%, Score 0.0318, BULL",BULL rank exit (95.7%),BULL rank exit (95.7%),BULL,csi500
601001,晋控煤业,煤炭开采,20220622,15.88,20220712,15.61,100,-62.3,-1.70%,20,Rank 0.91%,"Rank 0.91%, Score 0.0243, BULL",BULL rank exit (49.1%),BULL rank exit (49.1%),BULL,csi500
688567,孚能科技,电气设备,20220624,29.12,20220712,27.13,100,-202.5,-6.83%,18,Rank 3.99%,"Rank 3.99%, Score 0.0164, BULL",BULL rank exit (37.4%),BULL rank exit (37.4%),BULL,csi500
688266,泽璟制药-U,生物制药,20220707,37.05,20220713,33.23,100,-386.3,-10.31%,6,Rank 4.32%,"Rank 4.32%, Score 0.0186, BULL",BULL Hard stop (-10.3%),BULL Hard stop (-10.3%),BULL,csi500
002409,雅克科技,半导体,20220610,53.5,20220714,47.15,100,-2033.7,-11.87%,34,Rank 0.73%,"Rank 0.73%, Score 0.0276, BEAR",BULL Hard stop (-11.9%),BULL Hard stop (-11.9%),BULL,csi500
600566,济川药业,中成药,20220701,27.25,20220715,24.5,100,-632.0,-10.09%,14,Rank 1.81%,"Rank 1.81%, Score 0.0309, BULL",BULL Hard stop (-10.1%),BULL Hard stop (-10.1%),BULL,csi500
601615,明阳智能,电气设备,20220621,30.56,20220718,35.3,100,482.9,15.51%,27,Rank 1.63%,"Rank 1.63%, Score 0.0245, BULL",BULL rank exit (55.7%),BULL rank exit (55.7%),BULL,csi500
600004,白云机场,机场,20220628,13.52,20220718,13.86,100,84.3,2.51%,20,Rank 0.18%,"Rank 0.18%, Score 0.0305, BULL",BULL rank exit (93.2%),BULL rank exit (93.2%),BULL,csi500
002739,万达电影,影视音像,20220628,13.3,20220718,11.88,100,-436.4,-10.68%,20,Rank 1.08%,"Rank 1.08%, Score 0.0274, BULL",BULL Hard stop (-10.7%),BULL Hard stop (-10.7%),BULL,csi500
000967,盈峰环境,环境保护,20220629,5.23,20220718,4.98,200,-267.5,-4.78%,19,Rank 2.89%,"Rank 2.89%, Score 0.0161, BULL",BULL rank exit (91.7%),BULL rank exit (91.7%),BULL,csi500
601106,中国一重,工程机械,20220629,3.18,20220718,3.05,1700,-229.6,-4.09%,19,Rank 3.25%,"Rank 3.25%, Score 0.0159, BULL",BULL rank exit (89.9%),BULL rank exit (89.9%),BULL,csi500
603786,科博达,汽车配件,20220701,61.4,20220719,64.01,100,258.0,4.25%,18,Rank 0.90%,"Rank 0.90%, Score 0.0376, BULL",BULL rank exit (83.5%),BULL rank exit (83.5%),BULL,csi500
688772,珠海冠宇,电气设备,20220704,29.98,20220722,28.76,200,-253.2,-4.07%,18,Rank 3.61%,"Rank 3.61%, Score 0.0218, BULL",BULL rank exit (72.8%),BULL rank exit (72.8%),BULL,csi500
002244,滨江集团,区域地产,20220705,9.23,20220725,8.97,100,-18.3,-0.19%,20,Rank 4.33%,"Rank 4.33%, Score 0.0151, BULL",BULL rank exit (65.7%),BULL rank exit (65.7%),BULL,csi500
