代码,名称,行业,买入日期,买入价,卖出日期,卖出价,股数,盈亏金额,盈亏比例,持有天数,买入信号,买入原因,卖出信号,卖出原因,市场状态,股票池
688472,阿特斯,电气设备,20250407,8.6,20250421,9.19,400,231.2,6.86%,14,Rank 2.52%,"Rank 2.52%, Score 0.0608, BULL",BEAR rank exit (43.1%),BEAR rank exit (43.1%),BEAR,csi300
688599,天合光能,电气设备,20250409,13.95,20250425,13.21,500,-378.6,-5.30%,16,Rank 3.77%,"Rank 3.77%, Score 0.0467, BULL",BEAR rank exit (75.5%),BEAR rank exit (75.5%),BEAR,csi300
001391,国货航,仓储物流,20250410,7.32,20250425,7.12,800,-167.4,-2.73%,15,Rank 2.83%,"Rank 2.83%, Score 0.0423, BULL",BEAR rank exit (25.2%),BEAR rank exit (25.2%),BEAR,csi300
603260,合盛硅业,化工原料,20250307,54.44,20250429,51.3,100,-320.7,-5.77%,53,Rank 1.58%,"Rank 1.58%, Score 0.0239, BULL",BEAR trailing stop (8.7%),BEAR trailing stop (8.7%),BEAR,csi300
600588,用友网络,软件服务,20250407,13.33,20250429,13.82,200,94.4,3.68%,22,Rank 1.89%,"Rank 1.89%, Score 0.0751, BULL",BEAR rank exit (20.1%),BEAR rank exit (20.1%),BEAR,csi300
300979,华利集团,服饰,20250408,48.98,20250429,52.0,100,295.2,6.17%,21,Rank 1.89%,"Rank 1.89%, Score 0.0808, BULL",BEAR trailing stop (10.3%),BEAR trailing stop (10.3%),BEAR,csi300
688223,晶科能源,电气设备,20250410,5.96,20250429,5.63,700,-236.1,-5.54%,19,Rank 3.46%,"Rank 3.46%, Score 0.0412, BULL",BEAR rank exit (26.4%),BEAR rank exit (26.4%),BEAR,csi300
688009,中国通号,运输设备,20250407,4.98,20250509,5.13,800,114.7,3.01%,32,Rank 1.57%,"Rank 1.57%, Score 0.0914, BULL",BEAR rank exit (47.8%),BEAR rank exit (47.8%),BEAR,csi300
603260,合盛硅业,化工原料,20250429,51.3,20250509,51.63,300,78.9,0.64%,10,Rank 0.31%,"Rank 0.31%, Score 0.2661, BEAR",BEAR rank exit (67.0%),BEAR rank exit (67.0%),BEAR,csi300
688036,传音控股,通信设备,20250429,77.11,20250509,79.73,200,503.7,3.40%,10,Rank 1.89%,"Rank 1.89%, Score 0.0381, BEAR",BEAR rank exit (73.6%),BEAR rank exit (73.6%),BEAR,csi300
002600,领益智造,元器件,20250509,8.15,20250514,8.47,2300,712.5,3.94%,5,Rank 1.26%,"Rank 1.26%, Score 0.0328, BEAR",BEAR rank exit (46.9%),BEAR rank exit (46.9%),BEAR,csi300
302132,中航成飞,航空,20250509,79.88,20250515,87.05,200,1411.4,8.98%,6,Rank 0.63%,"Rank 0.63%, Score 0.0517, BEAR",BEAR trailing stop (9.2%),BEAR trailing stop (9.2%),BEAR,csi300
601018,宁波港,港口,20250107,3.7,20250522,3.84,5300,703.7,3.72%,135,Rank 1.27%,"Rank 1.27%, Score 0.0292, BEAR",BEAR trailing stop (8.1%),BEAR trailing stop (8.1%),BEAR,csi300
603833,欧派家居,家居用品,20250425,66.78,20250522,62.33,200,-906.2,-6.66%,27,Rank 1.26%,"Rank 1.26%, Score 0.0371, BEAR",BEAR trailing stop (8.5%),BEAR trailing stop (8.5%),BEAR,csi300
688303,大全能源,电气设备,20250514,21.11,20250523,19.35,900,-1606.6,-8.34%,9,Rank 1.89%,"Rank 1.89%, Score 0.0350, BEAR",BEAR Hard stop (-8.3%),BEAR Hard stop (-8.3%),BEAR,csi300
