,ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount,symbol,return_5d,return_10d,return_20d,intraday_momentum,ma_20,ma_60,price_to_ma20,volatility_20d,volume_ma20,volume_ratio,rsi,macd,pred
17171,688347.SH,2026-03-13,124.77,125.0,118.23,119.12,126.6,-7.48,-5.9084,180310.35,2169666.246,688347,0.011291281093471328,-0.06041962454645844,-0.09061760439728228,-0.045283321311212564,125.03300000000002,124.09966666666668,-0.047291515040029486,0.03097743508822588,154210.0815,1.1692513760088215,50,0,-0.9943591594774074
10610,300857.SZ,2026-03-13,250.08,260.68,247.43,247.59,251.08,-3.49,-1.39,84004.93,2127485.358,300857,0.002388663967611393,-0.07196671539413024,0.20113520593800027,-0.00995681381957777,242.5045,199.56016666666667,0.020970744872775615,0.047057206020732135,102883.577,0.8165047565544395,50,0,-0.9944716322073538
6950,002851.SZ,2026-03-13,118.5,119.85,115.5,117.64,120.5,-2.86,-2.3734,112692.26,1326812.224,002851,-0.08351511374259901,-0.05616174582798461,0.0003401360544217358,-0.007257383966244721,122.647,107.75166666666665,-0.040824480011741104,0.039050325158973546,178882.60350000003,0.6299788676415379,50,0,-0.9944856612569328
5852,002558.SZ,2026-03-13,36.91,37.24,35.11,35.43,35.93,-0.5,-1.3916,522492.13,1871894.788,002558,-0.004775280898876466,-0.04501347708894887,-0.13627498781082403,-0.04009753454348407,37.966,42.83383333333334,-0.06679660749091298,0.021515789287795663,447730.0245,1.166980326083381,50,0,-0.9944951812915304
11708,600118.SH,2026-03-13,90.4,91.8,86.9,87.37,90.39,-3.02,-3.3411,392937.76,3498602.19,600118,-0.06526158125601789,-0.04701134380453753,-0.0526943510788247,-0.03351769911504426,91.111,88.34816666666667,-0.04105980617049532,0.03410301044792248,501879.10949999996,0.7829330859848644,50,0,-0.9945211424698559
2195,002008.SZ,2026-03-13,70.53,71.1,68.0,68.7,70.75,-2.05,-2.8975,260122.24,1803379.437,002008,-0.012079378774805916,-0.049792531120331884,0.40347293156281916,-0.025946405784772412,63.94250000000001,50.68033333333333,0.07440278375102616,0.044848049857109336,436905.1475000001,0.595374628755195,50,0,-0.9948264922398538
15717,601615.SH,2026-03-13,22.6,23.13,21.42,22.15,22.03,0.12,0.5447,1466965.31,3264521.641,601615,0.09490855165595646,-0.033595113438045554,-0.04813064030941128,-0.019911504424778886,22.1535,18.656166666666664,-0.00015798857968274405,0.037399961579268295,905043.442,1.6208783378862286,50,0,-0.9950847357852863
5120,002436.SZ,2026-03-13,23.45,24.74,23.15,23.94,23.66,0.28,1.1834,906418.74,2173123.995,002436,-0.04583499402152247,-0.07816711590296488,0.09715857011915685,0.020895522388059785,24.259,22.883666666666667,-0.013149758852384674,0.03663929693510825,964484.8545,0.9397957217902607,50,0,-0.9951199789035211
5486,002532.SZ,2026-03-13,19.64,20.0,18.5,18.66,19.48,-0.82,-4.2094,676924.8,1300858.0,002532,0.020229633679606396,0.05602716468590829,0.062037564029595815,-0.04989816700611,18.174,17.3175,0.026741498844503164,0.031637369895386465,691720.816,0.9786098442210448,50,0,-0.9951661553486
13172,600498.SH,2026-03-13,55.0,56.12,52.21,52.36,55.5,-3.14,-5.6577,819926.6,4417210.594,600498,-0.007581501137225111,0.015712900096993332,0.34015868953161,-0.04800000000000001,49.7265,39.859833333333334,0.05295968950157359,0.05712937857816688,1312763.7365,0.6245804764380418,50,0,-0.9952039729836369
3290,002195.SZ,2026-03-13,10.13,10.77,9.82,10.45,10.3,0.15,1.4563,5919595.6,6095829.588,002195,-0.028810408921933095,-0.0560072267389341,0.05236656596173206,0.03158933859822295,10.3455,9.342666666666666,0.010101010101010166,0.03965376778764669,5499628.164,1.0763628782648071,50,0,-0.995407901497342
14627,600879.SH,2026-03-13,24.7,24.96,22.98,23.32,24.99,-1.67,-6.6827,2282812.51,5454902.299,600879,-0.10788064269319053,-0.09612403100775191,-0.1061709467228823,-0.055870445344129514,25.382,23.854833333333332,-0.08123867307540777,0.0360750460381869,1979275.8085,1.1533574553808659,50,0,-0.9956192583187243
12806,600487.SH,2026-03-13,51.05,53.0,49.45,49.68,51.42,-1.74,-3.3839,1307840.94,6660754.105,600487,0.025810448069378378,0.04589473684210521,0.4304635761589406,-0.02683643486777664,45.2575,32.88283333333333,0.09771861017510908,0.05609212923223557,1588170.8769999999,0.8234888064829847,50,0,-0.9959765860268619
16449,688027.SH,2026-03-13,640.5,666.5,628.98,661.0,650.0,11.0,1.6923,44517.55,2903128.649,688027,-0.05555238040806998,-0.02523189453038599,-0.011972915203061207,0.03200624512099922,681.1375,604.9116666666667,-0.029564515241049083,0.04863662697211365,34790.137,1.2796026065434571,50,0,-0.9964868651800948
10976,301308.SZ,2026-03-13,318.0,337.0,316.03,326.17,319.0,7.17,2.2476,185628.85,6096376.163,301308,0.06591503267973864,0.11816935207404877,0.11427302541678053,0.02569182389937112,301.609,296.1648333333333,0.08143324635538085,0.04718070106990215,141638.4935,1.310581928682362,50,0,-0.996553155046783
17537,688361.SH,2026-03-13,168.0,170.0,161.8,163.75,171.5,-7.75,-4.519,126583.27,2090179.082,688361,-0.03676470588235292,-0.16878172588832485,-0.14096107438883643,-0.025297619047619048,184.2475,177.39916666666667,-0.11124981343030438,0.03084025051605522,60679.05050000001,2.0861115811154436,50,0,-0.9968087318629405
4754,002353.SZ,2026-03-13,108.47,108.5,104.28,105.23,108.47,-3.24,-2.987,239138.11,2535507.205,002353,-0.1409795918367347,-0.10266905431909268,0.2095402298850575,-0.02987001014105278,109.079,89.14249999999998,-0.03528635209343678,0.048667162327997,234619.398,1.0192597544292028,50,0,-0.9968109291771
11342,600096.SH,2026-03-13,42.39,45.1,42.39,43.13,42.25,0.88,2.0828,1253881.49,5493544.763,600096,0.010780407780642154,-0.027946810908271225,0.22877492877492878,0.017456947393253174,40.3865,36.170833333333334,0.06793111559555798,0.038632418578033303,863835.068,1.4515288119623835,50,0,-0.9968372937673595
1463,000933.SZ,2026-03-13,38.21,39.48,36.58,36.88,38.04,-1.16,-3.0494,623089.6,2371166.574,000933,0.05011389521640108,0.13651771956856695,0.16967967015540752,-0.034807641978539604,33.521,30.785666666666664,0.10020584111452524,0.030660210543542964,466191.7395,1.3365522105880951,50,0,-0.9969722019119139
3656,002202.SZ,2026-03-13,31.35,32.68,31.0,31.43,31.29,0.14,0.4474,3941956.05,12534772.376,002202,0.1039690902704602,0.10474516695957825,0.26631748589846893,0.0025518341307814445,27.543,25.115166666666667,0.14112478669716455,0.02960372167837746,2518918.4365,1.5649399332920204,50,0,-0.9970832112714845
13538,600549.SH,2026-03-13,66.13,66.8,62.22,62.4,68.13,-5.73,-8.4104,965268.9,6185911.57,600549,-0.15675675675675682,-0.11047754811119037,0.1312545322697607,-0.056404052623620096,66.74300000000001,54.54016666666667,-0.06507049428404488,0.04787603514230897,789018.4924999999,1.2233793113382148,50,0,-0.997260643203181
731,000657.SZ,2026-03-13,59.7,59.7,56.07,56.07,62.3,-6.23,-10.0,1232874.34,7058483.768,000657,-0.14605543710021318,-0.15327695560253696,0.23366336633663365,-0.06080402010050255,59.246500000000005,43.28883333333333,-0.0536149814756991,0.055272656546584815,907291.1410000001,1.3588519542112574,50,0,-0.9975516561558468
4022,002261.SZ,2026-03-13,39.0,39.49,36.46,36.9,39.72,-2.82,-7.0997,2149788.42,8063280.384,002261,-0.055057618437900135,0.010405257393208966,0.1941747572815533,-0.053846153846153884,35.655499999999996,33.530833333333334,0.03490345108047843,0.047771807590691176,1476494.5035,1.4560084137728992,50,0,-0.9978582931897557
14261,600673.SH,2026-03-13,37.0,37.3,34.73,34.82,37.8,-2.98,-7.8836,867138.02,3087958.881,600673,-0.0788359788359787,0.20484429065743948,0.2136632973161381,-0.058918918918918914,32.1565,27.022000000000002,0.08282928801330991,0.04975395889074188,868439.811,0.9985010003071071,50,0,-0.9984997596230916
17903,688525.SH,2026-03-13,201.0,218.63,201.0,209.7,202.85,6.85,3.3769,380110.36,7971218.8,688525,0.0017675440691728994,0.2647768395657417,0.2880835380835378,0.04328358208955218,179.8715,155.16316666666668,0.1658322747072214,0.06384262123684034,320722.888,1.1851675518341813,50,0,-0.999070135196769
